Review,Rating
"The remake of Snow White is far from living up to its beloved origins. The film fails to capture the charm and magic of the original, and its modern reinterpretation leaves much to be desired. The acting performances are lackluster and unconvincing, with the cast struggling to truly inhabit their roles.

Similarly, the singing-a cornerstone of any classic Disney production-falls flat, delivering numbers that are both technically weak and emotionally uninspired.

This review is not about political correctness or the current trend of being ""woke."" Instead, it's about a missed opportunity to honor a timeless tale. Disney had the chance to recapture the nostalgic essence that made the original so cherished but instead opted for a misguided reinvention that erases much of the magic and wonder we once knew. The story, characters, and musical numbers suffer from a lack of creative vision, resulting in a product that is both disappointing and disheartening.

Ultimately, the Snow White remake is not worth the entry price, as it fails to evoke the emotional resonance and excitement that audiences expect from a Disney classic. It's a stark reminder that sometimes, in the pursuit of modernity, the heart of the story is lost in translation.",1/10
"To be fair, I have thought a lot of this movie and found the conclusion that Disney does neither understand the old animated movies nor the original fairy tales.

If you do a twisted fairy tale movie, okay all right, then use a different name, as was done with Frozen or Tangled or ""Mirror, Mirror"" and whatever. Of course, Disney movies are always different, but there is a high responsibility as they are regarded as cultural representation, and as a German, I really want to talk about this controversy. All right, if you need to change the back story of the name Snow White, why not simply introduce a real name. Dwarfs in fairy tales are of course not the same as people with dwarfism, and so the CGI idea with also introducing a human actor with dwarfism (with even a heroic task) could have worked, but removing simply the word dwarf does not help. How odd, as usually Disney is so careful of historical accuracy, there is silence about the obvious German connotations of both 1937 movie and the original tale. Although the love story with a guy called Jonathan is more contemporary elaborated than the insta-meet-cute with her prince, it can not evoke the same emotions as the 1937 movie. CGI animals are cute, but seriously? Snow was already in 1937 a leading lady and strong character, but Walt Disney decided to focus on a decision for love instead of power or ambition, so the political-moral connotations in this new movie are rather more backwarded than they actually are thinking. Although going the safe way with keeping definitely surprisingly many things intact from the 1937 movie, even with an old-fashioned fairy tale book opening and taking something from Cinderella live action - with amazing brightness and cheerfulness, it soon goes away from the old story into a world of reimagining. It makes me think of ""Mirror, Mirror"" with touch of the Disney Robin Hood and Tangled movies (and a bit of the German Simsala Grimm Schneewittchen version!), yet failing to showcase the kindness Snowy is constantly talking about. There could have made better use of the original tales (Brothers Grimm, but also tradition of Ludwig Bechstein, Johann Musäus and Ludwig Albert Grimm). Never much exploring the original characters, but somehow throwing in Jonathan's seven bandits as MIRRORED version to the dwarfs (these were the first version leaked, which turns out not to be the 7 ""dwarfs"",which is a good attempt to keep up a mirror structure of the main Disney couple), but so random named (Bingley?? Norwich??? Why???). Anyway, the music is charming, but reminds with ""let go, let glow"" too much of you know what I mean, also such like a reminiscence ""Waiting on a Miracle"" from Encanto. The spectacular musical scenes are very good, but a big contrast to the quiet cottage-core feeling of the 1937 movie In fact, it's a twisted remix, just like a rock/pop version of a music piece by Mozart. It might be worth as an idea offering enjoyable moments and tunes, but considering it as improvement is insane. Just like Enchanted was already a reimagining of Snow White, this is also another one and should be called in my opinion perhaps ""Mirrored"". An interesting advertisement campaign for the old movie and related products through reverse psychology. Particularly, too many mixed ideas. ""Strong independent"" - but princess -, still not as daring as in Mirror, Mirror, here in a child costume advertisement spot, and let's not forget that girl empowerment does not work this way with an anachronistic understanding of monarchy (Disney Queen franchise?), and let us simply dream, not be lessoned...",1/10
"Snow White, the original animated film, was incredibly popular and was responsible for a much needed morale boost during a dark time in the US and the globe.

The remake is not a credit to the original, in many ways it makes a mockery of the original, taking the beloved character and shifting her entirely into someone else.

The music was halfhearted and the dwarves felt like an afterthought, the plot doesn't really involve them beyond their presence, you can tell that many retakes occurred and that fact should be invisible to the audience.

Do better Disney, this was a shame and I cannot determine for the life of me, why Disney would do this.",1/10
"I attended the Snow White remake last Thursday with high hopes, only to find myself marooned in a sea of kitsch, cheap effects, and an utterly barren vision.

Marc Webb's direction could generously be described as a masterclass in mediocrity-an exercise in how not to reimagine a classic. His handling of the material was so devoid of creativity that even the most outlandish camp would have been an improvement.

The so-called seven dwarfs? They weren't authentic actors at all; instead, we were treated to a parade of CGI caricatures that failed to capture any semblance of charm. Their forced musical numbers were as out-of-place as a kazoo in a symphony-an entirely misguided attempt at infusing musical flair that only underscored the film's overall discordance.

Rachel Zegler's portrayal of Snow White was painfully bland, with a performance that vacillated between uninspired and downright wooden. And then there's Gal Gadot as the evil queen-her performance, marred by a haughty arrogance, was as unconvincing as it was theatrically misguided. The chemistry, or lack thereof, among the cast only amplified the film's deficiencies.

Every element-from the poor acting to the mismatched musical attempts-conspired to create an experience that was both artistically bankrupt and humorously tragic. It's astonishing how a project can simultaneously squander a beloved tale and insult the audience's intelligence.

Save your time, money, and sanity; this film is a stark reminder that not every retelling deserves a second chance.

A truly deplorable, negative experience in every sense.",1/10
"If you ever wondered how a timeless fairy tale could be transmogrified into a cinematic trainwreck, ""Snow White (2025)"" answers that question in the most excruciatingly painful way possible. This live-action disaster-directed by Marc Webb-manages to twist a magical classic into a hollow parody that insults its own source material.

From the first frame to the final cringe-worthy scene, nothing about this film feels authentic or magical. Rachel Zegler's Snow White, instead of exuding grace or wonder, stumbles through a muddled script that seems more intent on pandering to modern gimmicks than honoring a beloved tale. Gal Gadot's Evil Queen, though a familiar face, appears trapped in an identity crisis that renders her both over-the-top and underwhelming. The production's relentless overuse of flashy effects and forced modern sensibilities transforms what should have been a timeless narrative into a disjointed mess-an exercise in creative misdirection that leaves audiences wondering if the director was aiming for satire or if he was simply out of ideas.

The film doesn't just miss the mark-it shatters it into a million unwatchable pieces. It's an utter waste of time and talent, a cinematic abomination that makes you question why any remake was even attempted. Simply put, ""Snow White (2025)"" is a parody of its own potential, a laughable, lifeless rehash that deserves nothing more than a 1/10.

Do yourself a favor: skip this trainwreck.",1/10
"To all the naysayers: you all must be miserable human beings. The music was good. The CGI dwarfs were cute annnnnnd the animals. They gave the movie the Disney appeal so I don't understand what the fuss is about. I don't think the movie would've worked with actual little people as the dwarfs. I will say, Gal Gadot as the evil stepmother wasn't convincing & she can't sing but she looked good but I didn't care for her as Wonder Woman either. Snow White is worth the watch and my 11 year old and I enjoyed it and the kiddies are the only one's who need to enjoy it..............................................",9/10
"I honestly had no issue watching this movie. At first I skeptical with all drama from the actresses pre-release, but it wasn't bad at all. The musical was pretty good actually. Yes, Snow White's acting could be better, but it wasn't awful. I like that the love theme stayed in the movie and wasn't just about a strong woman leader. My biggest complaint is that they used CGI for the dwarves. I understand why though (to maintain their familiarity with the original) but using real dwarfs would of been better. It was quite disturbing that there was a real dwarf in the movie...but it was 1 of the bandits. Overall, id recommend seeing the moving and not believing all the negativity.",7/10
No review found,1/10
No review found,1/10
"The apple was the least poisoned thing on screen. The dwarves acted like grumpy old men, not miners, just muttering and shuffling around. The prince was boring as hell, no spark, no nothing, like he slept through the whole movie. The story wandered around with no point, like it got lost in the woods. The forest looked fake and the whole thing felt like a school play gone wrong. You'd think with all that money, they'd make something decent, but no, they churned out this snooze fest instead. Skip it unless you hate yourself or love watching paint dry. A fairy tale so dead, no kiss could save it.",1/10
"The original was made almost 90 years ago and sadly you'd think that period of time would mean significant improvements in the ability to make a good movie while there's lots of shiny CGI it just doesn't gel. Disney seem to be on a roll, they bought the Star Wars & Marvel franchises a few years ago and those have been on a steady decline ever since. Unfortunately, the only thing this live action remake looks set to beat is the very low IMDB rating of the 2022 Pinocchio live action remake which has a rating of just 5/10, even with the star power of Tom Hanks, Snow White is sitting at 2 at the moment. The live action version of Mulan also bombed at the box office, Peter Pan & Wendy 2023 (with an IMDB of just 4.4) was also pretty dire. It seems there's also a live action version of Bambi in the works which doesn't bode well.",1/10
"As a grizzled movie critic with a nose for trash, I'm here to declare the new *Snow White* a cinematic catastrophe so abysmal it makes the dwarves' coal-dusted day job seem like a vacation in paradise-Grumpy's perpetual frown is the only thing more warranted than my outright revulsion. The plot lurches along like Sleepy after a three-day bender, tripping over itself in a haze of incoherence, while the CGI is so heinously bad it looks like Dopey was handed the reins to the animation software and told to ""figure it out."" I'd sooner volunteer to scrub the Evil Queen's dungeon floors-or stare at drying paint in her torture chamber-than endure this soulless, cash-grabbing travesty again; mirror, mirror on the wall, this remake's the most wretched of them all!",1/10
"Disney DNA was originality, innovative artistry, emotional storytelling, attention to detail, timeless appeal and a sense of wonder. These remakes all fail on every aspect.

Originality: (It's a remake after all)


Innovative artistry: There is no innovative tech, or anything that pushes movie making forward.








Sense of wonder: No imagination, you don't feel like you are exploring something you haven't seen before, it doesn't spark that childlike curiosity and awe about things that aren't real, but could be plausible.

Disney DNA died in the 90s. Ever since then they have been culturally and creatively bankrupt, and only survived thanks to all the acquisitions of far more creative and imaginative studios which they gradually are turning to trash.

The original snow white is still remembered almost a century later whereas the new one will be forgotten a year from now.

When people have to choose which one to watch, people will say ""let's watch the good one"" without specifying what the good one is, and yet everyone will instantly know what the good one is; the animated one.",2/10
"One of the worst live-action remakes ever made. The story is poorly rewritten, the pacing drags, and the visuals feel lifeless. Gal Gadot's performance as the Queen is stiff, lacking menace and presence. The dwarfs feel irrelevant, and their inclusion is pointless. Iconic moments are either removed or handled so badly that they lose impact. The CGI is disappointing, and the entire film lacks the charm or magic expected from such a remake. Instead of a respectful update, it feels like a soulless cash grab. A frustrating, unnecessary remake that fails on every level. 1/10.

If you care for your hard earned money dont waste it one this movie.",1/10
"Disney's live-action Snow White aims to reimagine a timeless fairy tale, yet it falters dramatically due to Gal Gadot's uninspired portrayal of the Evil Queen. Gadot's performance is marked by an overdone, mechanical display of villainy-her exaggerated eyebrow arch and flat vocal delivery fail to capture any real menace or seductive complexity. One respected critic from DiscussingFilm even claimed this might be Gadot's worst performance to date. Rather than delivering a multifaceted, memorable antagonist, Gadot's Queen comes off as a poorly conceived caricature that drains the film of dramatic tension. While Rachel Zegler's performance as Snow White offers warmth and charm, Gadot's lackluster approach undermines the film's overall impact, leaving viewers with a forgettable and disappointing villain who fails to justify her role in this modern retelling.",1/10
"Talk about people jumping on a bandwagon.... I hadn't seen any reviews, took my 2 children on opening day. We walked in with open minds and it was a great film.

Snow White is my favourite Disney Princess, mostly the imagery, the colours etc.

There was never really much story to the original film so not much to go on.

I thought this remake was lovely, gentle story, great costumes, animation of little men (which she refers to as, in original film) was fun and the mine song, trolley ride was really sweet and got me. Kids loved it, songs were well done and sung beautifully.

People take everything so seriously these days, this is a fun, easy watchable, enjoyable film that most with an open mind and open gentle heart will enjoy.",9/10
"This movie does not deserve the hate it is getting. I definitely recommend giving it a watch. Snow White was a fun movie for the entire family. It stayed true to the original and was beautifully done. Rachel Ziegler was a true talent and Gal Gadot delivers a good performance as the evil queen. Dwarves were fun. Costumes on the evil queen were outstanding. Set design was beautiful. The cgi on the animals is the best Disney has done in a long time. As a whole the movie was good, Could it have been better, of course. But as a whole it was a cute movie and I think you should definitely give it a watch.",7/10
"The 2025 remake of Snow White is, quite frankly, a disaster in every sense. What was once a timeless fairy tale full of heart and wonder has been stripped down to a dull, lifeless spectacle with none of the charm or magic that made the original so beloved.

The acting is flat and uninspired, with performances that feel forced and emotionally disconnected. The lead actress, in particular, struggles to bring any real presence or depth to the iconic role of Snow White, leaving the character feeling hollow and unrelatable.

Visually, the film fares no better. The animation and effects are shockingly subpar - at times reminiscent of outdated video game graphics. Rather than enchanting the audience, the film bombards them with artificial visuals that lack any real artistic vision.

But perhaps the greatest failure lies in the story itself. The narrative is scattered, lifeless, and entirely devoid of emotional resonance. Gone is the heart of the original tale, replaced by a rushed, soulless plot that seems more interested in ticking boxes than telling a meaningful story.

This adaptation doesn't honour the classic nor does it offer a compelling modern take. It's a missed opportunity - a hollow, joyless retelling that fails to leave any lasting impression.",1/10
"Just watched Snow White and yeah, I wasn't a fan. I went in curious to see how they'd reimagine the classic, but it kind of missed the mark for me. First off, it didn't feel like Snow White at all. They tried really hard to make it modern and ""different,"" but in doing that, they stripped away everything that made the original story charming and magical. It felt more like they were pushing a message than telling a fairy tale. Not saying stories can't evolve, but this one felt forced.

Rachel Zegler's version of Snow White wasn't relatable or likeable. She came off a bit self-important instead of kind and warm like the Snow White we all know. And where are the dwarfs? They swapped them out for random magical creatures, and it just didn't have the same fun vibe. Gal Gadot as the Evil Queen was probably the best part-she had some great moments-but even she couldn't save it.

Visually, it was okay. Some scenes looked cool, but overall it was super CGI-heavy and kind of flat. The songs? Pretty forgettable, honestly. Nothing I'd go back and listen to. Overall, it felt like they tried so hard to make a statement that they forgot to make a good movie. If you loved the original Snow White or were hoping for a fun fantasy film, I'd probably skip this one.",1/10
"This movie was not worth my time or money. It's an odd take on a classic and was honestly completely unnecessary. I don't mind that Rachel isn't white as snow, even though that was kind of Snow Whites whole thing, but the other choices throughout the movie that were questionable and just, frankly, terrible made the move unbearable.

I don't understand the CGI choices. There are plenty of actors who could have played the Dwarfs. It made it weird that they were CGI and I didn't connect with them at all.

Rachel's acting was decent, but most of the rest were terrible. Gal Gadot being the worst. The overacted and it just came off as cheesy and stale instead of a fresh take on the evil queen. Though I suppose when it comes to casting someone as evil, they picked the right actress. If only she could act her way out of a bag. Being pretty only gets you so far, Gal.",1/10
"Where do I even begin? The plot was so convoluted and nonsensical, it felt like the writers threw darts at a board of random ideas and called it a script. Scenes dragged on unnecessarily, making an already incomprehensible story feel like an eternity. I spent most of the movie wondering when it would finally end, and not in a suspenseful way. Avoid this at all costs unless you're looking for a cure for insomnia.

The acting in this film was atrocious. It felt like they pulled people off the street and gave them lines to read without any direction. The characters were flat, unlikable, and made decisions that defied all logic.",1/10
"A Catastrophe of Epic Proportions - A Career-Low for Everyone Involved

Where do I even begin? This movie is not just bad-it's a cinematic trainwreck that should be studied in film schools as a cautionary tale. Every aspect of this film, from the acting to the script to the direction, feels like a masterclass in how not to make a movie.

Let's start with Gal Gadot. Her line delivery is wooden, her expressions range from mildly confused to completely indifferent, and any attempt at emotion falls flat.

The script is an absolute disaster-full of nonsensical dialogue, forced exposition, and laughable attempts at drama. It's as if the writers Googled how to write a screenplay and then actively ignored every good piece of advice. The pacing is absolutely torturous. Scenes drag on for what feels like hours, yet nothing of importance happens. It's both boring and exhausting, which is a rare and unfortunate combination.

And then there's the direction. The action, if you can call it that, is a jittery mess, with rapid cuts that make even the simplest sequences unwatchable. The cinematography is uninspired, and the tone is all over the place-at times trying to be serious, then suddenly switching to unintentional comedy.

The final nail in the coffin is the sheer lack of originality. Every trope, every cliché, every overused plot device is thrown into the mix with no attempt at innovation. It's as if this movie was made by an AI trained exclusively on the worst action scripts ever written.

Simply put, this film is an insult to audiences. It's not just a bad movie-it's an unwatchable disaster. Save your time, your money, and your sanity. Avoid at all costs.

One star, and only because IMDB won't let me give zero.",1/10
No review found,1/10
"The only real good thing I have to say about the movie was with some of the songs and Ziegler and Gadot have the chops to sing them well. Otherwise, this movie falls into the same trap that other previous iterations have done which was they all strayed from the original plot line. It certainly didn't help that some of the Production and effects felt obviously rushed. These main factors makes me not want to recommend this movie to anyone. If you want to watch Snow White, I would recommend saving your money and watch the original Snow White and the Seven Dwarves on DVD, Blu Ray or Video Cassette if you're old school.",2/10
"I came into this movie with very low expectations but nothing could have prepared me for just how bad it actually is.

The story has nothing to do with Snow White at all. They basically just took the name Snow White and made a completely different and much much worse story. I'm using the term ""story"" very loosely because there isn't really any story here.

The acting is also terrible, in particular Rachel Zegler's performance is just awful and extremely bland and uninspired.

I can't really think of a single positive about this movie, it's just awful from start to finish. I can't imagine what the Disney execs thought was going to happen with this movie, but I'm assuming that someone will be fired over this mess.",-/10
The costumes acting and attention to detail and storytelling were usual Disney top notch. The story was so nice with a great message. Classic songs were great to hear. I loved the way Snow White was adjusted slightly to make it a little more current but remain true to the Snow White story. The costumes were exceptional. Both Snow White and the witch really acted so well. The seven drawfs added just the right amount of comedic relief and attention to the story. The ending was a wonderful message to the audience. I would definitely recommend this movie. Glad I took the opportunity to go see it for myself.,8/10
No review found,7/10
No review found,1/10
"Watching Snow White (2025) felt like staring at a distorted reflection in the Magic Mirror. The attempt to modernize this timeless tale was a misguided endeavor that stripped away its charm and magic, leaving a hollow shell. Rachel Zegler's portrayal was unconvincing; instead of embodying the warmth and kindness of Snow White, her character felt distant and forced, reciting lines that lacked authenticity. The CGI creatures replaced the dwarfs, but their lifeless presence couldn't rekindle the magic of the original. Visually, the enchanted forest was more plastic than fantastical, and Gal Gadot's Evil Queen, while stunning, lacked any real menace. Every element-from the scattered narrative to the soulless musical numbers-felt rushed and uninspired. The 'modern audience' Disney aimed for was always an illusion; this retelling fails to find its heart or its purpose. A poisoned apple indeed.",1/10
"This film is an absolute failure on every level, completely lacking the magic, charm, and heart that made the original story so beloved. From the very beginning, it feels uninspired, with flat performances, dull dialogue, and a lifeless atmosphere that fails to create any real emotional connection. The pacing is inconsistent, dragging in places where it should be engaging, making the entire experience feel like a chore to sit through. Visually, it fails to impress despite its massive budget, relying on inconsistent CGI and uninspired production design that lacks creativity. The film tries to be something new but ends up feeling forced and soulless, as if it was made with no real passion or understanding of what makes a great fantasy movie. It lacks excitement, depth, and entertainment value, making it one of the most forgettable and disappointing films in recent memory. Audiences deserve better than this lazy, uninspired mess that does nothing to justify its existence.",1/10
"I remember when I was 6 a bought Snow White to watch it on DVD, it was my favorite movie, it's like a core memory to me. I grow up watching this movie every weekend.

Now after watching the live action i'm more than disappointed.

BAD ACTING especially Gal Gadot, her acting looks like a movie parody, it was hard to watch her on this movie. Rachel Zagler i'm not saying she's not talented she has an amazing voice but this role was not for her, she is not Snow White and this role didn't fit her at all.

Was it necessary to change the original story?

Why didn't Disney make another movie but decided to destroy our favorite movie trying to do something interesting??",1/10
No review found,1/10
